country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million,vaccines,source_name,source_website
Lebanon,LBN,5/2/2021,465909,294945,170964,4151,7192,6.83,4.32,2.5,1054,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Lebanon,https://impact.cib.gov.lb/home/dashboard/vaccine
Lesotho,LSO,4/17/2021,16000,16000,,,410,0.75,0.75,,191,Oxford/AstraZeneca,Government of Lesotho,https://news.un.org/en/story/2021/04/1089792
Libya,LBY,4/17/2021,750,750,,,,0.01,0.01,,,"Oxford/AstraZeneca, Sinovac, Sputnik V",Government of National Unity,https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-15-11-17-april-2021
Liechtenstein,LIE,4/28/2021,12219,8044,4175,273,252,32.04,21.09,10.95,6608,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=FL
Lithuania,LTU,5/2/2021,995557,691403,304154,556,16479,36.57,25.4,11.17,6053,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://ls-osp-sdg.maps.arcgis.com/apps/opsdashboard/index.html#/b7063ad3f8c149d394be7f043dfce460
Luxembourg,LUX,4/29/2021,191419,140495,50924,4939,2609,30.58,22.44,8.14,4168,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Luxembourg,https://data.public.lu/fr/datasets/r/1d190303-4307-4a5b-92ec-cb31852de6fa
Macao,MAC,5/2/2021,107714,70655,37197,1517,2004,16.59,10.88,5.73,3086,"Pfizer/BioNTech, Sinopharm/Beijing",Government of Macao,https://www.gov.mo/zh-hant/news/375701/
Malawi,MWI,4/30/2021,296127,296127,,5783,3757,1.55,1.55,,196,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/health_malawi/status/1388166647672881153
Malaysia,MYS,5/1/2021,1453382,898094,555288,5316,23281,4.49,2.77,1.72,719,"Pfizer/BioNTech, Sinovac",Government of Malaysia,https://twitter.com/JKJAVMY/status/1388778325640769537
Maldives,MDV,5/1/2021,399550,296961,102589,,4486,73.92,54.94,18.98,8299,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Presidency of the Maldives,https://twitter.com/HPA_MV/status/1388549670012555265
Mali,MLI,4/25/2021,49903,49903,,,1821,0.25,0.25,,90,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/msdsmali1/posts/2963098517252980?__cft__[0]=AZUvGx7hQwWiO1MLPYRMMzdU7dw5pnzmACTNpF1x5bXxOTankakP9VEi50sdOsNOJDJIk9YcEzkgAnhwE72Peie0olqS3CwTrLjs5Lu3va9PH4X8ONLarXrtex3zOa7sU5o0S8T4z3R1MGc4UZGzQ2HV3u2izwmMV3alrH2Dws1eyQ&__tn__=%2CO%2CP-R
Malta,MLT,5/1/2021,339727,231511,108216,3879,4024,76.94,52.43,24.51,9114,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",COVID-19 Malta Public Health Response Team,https://github.com/COVID19-Malta/COVID19-Cases
Mauritania,MRT,4/18/2021,7038,7038,,,411,0.15,0.15,,88,Sinopharm/Beijing,Ministry of Health,https://www.sante.gov.mr/wp-content/uploads/2021/04/Mauritania-COVID-19-Situation-Report-2021-04-18FR.pdf
Mauritius,MUS,3/24/2021,117323,117323,,,3242,9.23,9.23,,2549,Oxford/AstraZeneca,National Communication Committee on COVID-19,https://www.mymauritius.travel/articles/117323-vaccinated-mauritius-track-achieve-herd-immunity
Mexico,MEX,5/2/2021,18326726,12572997,7650150,246721,273813,14.21,9.75,5.93,2124,"CanSino, Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac, Sputnik V",Secretary of Health,https://www.gob.mx/cms/uploads/attachment/file/634724/CP_Salud_coronavirus_COVID-19__02may21.pdf
Moldova,MDA,4/30/2021,147315,130218,17097,2198,3866,3.65,3.23,0.42,958,Oxford/AstraZeneca,Ministry of Health,https://vaccinare.gov.md/
Monaco,MCO,4/22/2021,24390,12758,11632,,205,62.15,32.51,29.64,5224,Pfizer/BioNTech,National Council,https://www.facebook.com/GvtMonaco/posts/2719067995050823
Mongolia,MNG,5/2/2021,1398592,947529,451063,102054,75148,42.66,28.9,13.76,22923,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Ministry of Health via ikon.mn,https://ikon.mn/
Montenegro,MNE,5/1/2021,63064,40215,22849,1319,537,10.04,6.4,3.64,855,"Sinopharm/Beijing, Sputnik V",Government of Montenegro,https://www.covidodgovor.me/
Montserrat,MSR,4/21/2021,1909,1293,616,,23,38.19,25.87,12.32,4601,Oxford/AstraZeneca,Government of Montserrat,https://www.facebook.com/GIUMontserrat/posts/882138232345520
Morocco,MAR,5/1/2021,9315844,5055239,4260605,790,53046,25.24,13.7,11.54,1437,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health,http://www.covidmaroc.ma/pages/Accueilfr.aspx
Mozambique,MOZ,3/23/2021,57305,57305,,,1087,0.18,0.18,,35,Sinopharm/Beijing,Deputy National Director of Public Health,https://allafrica.com/stories/202103230834.html
Myanmar,MMR,3/31/2021,1040000,1000000,40000,,12222,1.91,1.84,0.07,225,Oxford/AstraZeneca,Ministry of Health,https://www.frontiermyanmar.net/en/anti-military-defiance-slows-covid-19-vaccination-to-a-trickle/
Namibia,NAM,4/28/2021,20005,18837,1168,,1967,0.79,0.74,0.05,774,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health and Social Services,https://www.facebook.com/MoHSSNamibia/photos/pcb.738001143539558/738001063539566
Nauru,NRU,4/15/2021,700,700,,,100,6.46,6.46,,9230,Oxford/AstraZeneca,Government of the Republic of Nauru,"http://www.naurugov.nr/government-information-office/media-release/president,-speaker,-cj-take-first-vaccine-shots.aspx"
Nepal,NPL,4/28/2021,2091511,2091511,,40071,17858,7.18,7.18,,613,"Oxford/AstraZeneca, Sinopharm/Beijing",Government of Nepal,https://covid19.mohp.gov.np/covid/englishSituationReport/608a91a9c6d26_SitRep445_COVID-19_29-04-2021_EN.pdf
Netherlands,NLD,4/28/2021,5265860,,,89850,56034,30.73,,,3270,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",National Institute for Public Health and the Environment,https://coronadashboard.government.nl/landelijk/vaccinaties
New Zealand,NZL,4/27/2021,232588,172564,60024,9364,6854,4.82,3.58,1.24,1421,Pfizer/BioNTech,Ministry of Health,https://www.health.govt.nz/our-work/diseases-and-conditions/covid-19-novel-coronavirus/covid-19-data-and-statistics/covid-19-vaccine-data
Nicaragua,NIC,4/24/2021,135130,135130,,,7350,2.04,2.04,,1110,"Oxford/AstraZeneca, Sputnik V",Ministerio de Salud de la República de Nicaragua,https://www.confidencial.com.ni/nacion/mas-de-132-000-personas-ya-recibieron-la-primera-dosis-de-la-vacuna-covishield/
Niger,NER,4/17/2021,1366,1366,,,68,0.01,0.01,,3,Sinopharm/Beijing,Government of Niger,https://www.rfi.fr/fr/afrique/20210417-au-niger-les-centres-de-vaccinations-pris-d-assaut-pour-le-petit-p%C3%A8lerinage-%C3%A0-la-mecque
Nigeria,NGA,5/2/2021,1229733,1229733,,7624,8317,0.6,0.6,,40,Oxford/AstraZeneca,Government of Nigeria,https://twitter.com/NphcdaNG/status/1388915795716186115
North Macedonia,MKD,4/30/2021,61603,61603,,,2031,2.96,2.96,,975,Pfizer/BioNTech,Government of North Macedonia,https://kovid19vakcinacija.mk/
Northern Cyprus,OWID_CYN,4/23/2021,109490,60642,48848,,508,28.65,15.87,12.78,1329,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://asibilgisistemi.com/
Northern Ireland,OWID_NIR,5/1/2021,1364658,937782,426876,9998,16675,72.06,49.52,22.54,8806,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Norway,NOR,4/29/2021,1700785,1343500,357285,64674,27420,31.37,24.78,6.59,5058,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Norwegian Institute of Public Health,https://www.fhi.no/sv/vaksine/koronavaksinasjonsprogrammet/koronavaksinasjonsstatistikk/
Oman,OMN,4/28/2021,315691,253000,62691,,10124,6.18,4.95,1.23,1983,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/OmaniMOH/status/1387354487833210882
Pakistan,PAK,4/14/2021,2100000,2100000,,800000,153544,0.95,0.95,,695,"CanSino, Sinopharm/Beijing, Sinovac, Sputnik V",National Command and Operation Centre,https://twitter.com/Asad_Umar/status/1387269459014873092
Palestine,PSE,4/25/2021,213989,170109,43880,496,4340,4.19,3.33,0.86,851,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.facebook.com/mohps/posts/3750938078365376
Panama,PAN,5/1/2021,687653,496449,191204,14807,11242,15.94,11.51,4.43,2605,"Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/MINSAPma/status/1389025402946035712
Papua New Guinea,PNG,4/25/2021,2900,2900,,,130,0.03,0.03,,15,Oxford/AstraZeneca,Government of Papua New Guinea,https://covid19.info.gov.pg/files/Situation%20Report/PNG%20COVID-19%20Health%20Situation%20Report%2070%20DRAFT%20FINAL.pdf
Paraguay,PRY,4/27/2021,103994,92926,11068,3349,1268,1.46,1.3,0.16,178,Sputnik V,Government of Paraguay,https://www.vacunate.gov.py/index-listado-vacunados.html
Peru,PER,4/30/2021,1663307,1040645,622662,54060,30621,5.04,3.16,1.89,929,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing",Ministry of Health,https://www.datosabiertos.gob.pe/dataset/vacunaci%C3%B3n-contra-covid-19-ministerio-de-salud-minsa
Philippines,PHL,5/1/2021,1941196,1656643,284553,21345,26819,1.77,1.51,0.26,245,"Oxford/AstraZeneca, Sinovac",Government of the Philippines,https://www.covid19.gov.ph/
Poland,POL,5/1/2021,11877060,8917338,2959722,,238603,31.38,23.56,7.82,6304,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.gov.pl/web/szczepimysie/raport-szczepien-przeciwko-covid-19
Portugal,PRT,5/2/2021,3421792,2513836,907934,51504,57630,33.56,24.65,8.9,5652,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Directorate General for Health via Data Science for Social Good,https://github.com/dssg-pt/covid19pt-data
Qatar,QAT,5/2/2021,1603913,1017019,586894,24911,26879,55.67,35.3,20.37,9330,Pfizer/BioNTech,Ministry of Public Health,https://covid19.moph.gov.qa/EN/Pages/Vaccination-Program-Data.aspx
Romania,ROU,5/1/2021,5300469,3336830,1963639,60017,77910,27.55,17.35,10.21,4050,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of Romania,https://datelazi.ro/
Russia,RUS,5/2/2021,20070743,12431003,7639740,136344,274005,13.75,8.52,5.24,1878,"EpiVacCorona, Sputnik V",Official data from local governments via gogov.ru,https://gogov.ru/articles/covid-v-stats
Rwanda,RWA,5/2/2021,350131,350131,,128,46,2.7,2.7,,4,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://twitter.com/RwandaHealth/status/1388939300138635264
Saint Helena,SHN,4/9/2021,4572,3563,1009,,61,75.31,58.69,16.62,10048,Oxford/AstraZeneca,Government of Saint Helena,https://www.sainthelena.gov.sh/2021/news/coronavirus-covid-19-ieg-update/
Saint Kitts and Nevis,KNA,4/21/2021,11848,11848,,,99,22.27,22.27,,1861,Oxford/AstraZeneca,Government of Saint Kitts and Nevis,https://www.facebook.com/StKittsHPU/posts/901952540588586
Saint Lucia,LCA,5/1/2021,24426,,,160,69,13.3,,,376,Oxford/AstraZeneca,Ministry of Health,https://www.covid19response.lc/
Saint Vincent and the Grenadines,VCT,4/24/2021,13852,,,,155,12.49,,,1397,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/SVGHEALTH/posts/4427549923972063
Samoa,WSM,4/30/2021,5880,,,,,2.96,,,,Oxford/AstraZeneca,Ministry of Health,https://www.health.gov.ws/
San Marino,SMR,4/29/2021,28970,20269,8701,,547,85.36,59.72,25.64,16118,"Pfizer/BioNTech, Sputnik V",Social Security Institute,https://vaccinocovid.iss.sm/
Sao Tome and Principe,STP,3/29/2021,9724,9724,,,823,4.44,4.44,,3755,Oxford/AstraZeneca,Ministry of Health,https://www.facebook.com/MSaudeSTeP/photos/pcb.3764121173707955/3764120233708049
Saudi Arabia,SAU,5/2/2021,9557948,,,85887,188969,27.45,,,5428,"Oxford/AstraZeneca, Pfizer/BioNTech",Saudi Health Council,https://coronamap.sa
Scotland,OWID_SCT,5/1/2021,4115416,2817752,1297664,40211,43124,75.33,51.58,23.75,7893,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Senegal,SEN,5/1/2021,413031,413031,,1688,2132,2.47,2.47,,127,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MinisteredelaS1/status/1388447280831901699
Serbia,SRB,5/1/2021,3525819,2028302,1497517,11214,38969,51.82,29.81,22.01,5727,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sputnik V",Government of Serbia,https://vakcinacija.gov.rs/
Seychelles,SYC,4/29/2021,126840,67680,59160,1301,961,128.98,68.82,60.16,9772,"Oxford/AstraZeneca, Sinopharm/Beijing",Extended Programme for Immunisation,https://www.facebook.com/mohseychellesofficial/photos/pcb.1731317620402695/1731316700402787
Sierra Leone,SLE,5/1/2021,61107,55083,6024,,721,0.77,0.69,0.08,90,Oxford/AstraZeneca,Ministry of Health and Sanitation,https://www.facebook.com/mohsict/photos/pcb.1382684728759336/1382683268759482/
Singapore,SGP,4/18/2021,2213888,1364124,849764,,45530,37.84,23.32,14.53,7782,"Moderna, Pfizer/BioNTech",Ministry of Health,https://www.moh.gov.sg/covid-19
Slovakia,SVK,5/2/2021,1623934,1115253,508681,15085,21410,29.74,20.43,9.32,3922,Pfizer/BioNTech,Ministry of Health,https://github.com/Institut-Zdravotnych-Analyz/covid19-data
Slovenia,SVN,5/2/2021,640902,427449,213453,3439,7835,30.83,20.56,10.27,3769,"Oxford/AstraZeneca, Pfizer/BioNTech",National Institute of Public Health via Sledilnik,https://covid-19.sledilnik.org/en/stats
Solomon Islands,SLB,4/27/2021,4890,4890,,,107,0.71,0.71,,156,Oxford/AstraZeneca,Government of the Solomon Islands,https://theislandsun.com.sb/almost-5000-vaccinated/?fbclid=IwAR2SUOkuUZ1MjVPGYvZEm4q0yO-bnqP-ubu1FdlhstC44jefhXhoqJ2dIgM
Somalia,SOM,4/17/2021,117567,117567,,,,0.74,0.74,,,"Oxford/AstraZeneca, Sinopharm/Beijing",Federal Government of Somalia,https://reliefweb.int/report/iran-islamic-republic/covid-19-situation-updates-week-15-11-17-april-2021
South Africa,ZAF,5/1/2021,318670,318670,318670,1014,3142,0.54,0.54,0.54,53,Johnson&Johnson,Ministry of Health,https://sacoronavirus.co.za/
South Korea,KOR,5/2/2021,3633353,3396864,236489,2061,180223,7.09,6.63,0.46,3515,"Oxford/AstraZeneca, Pfizer/BioNTech",Korea Centers for Disease Control and Prevention,http://ncv.kdca.go.kr/
South Sudan,SSD,4/15/2021,947,947,,,95,0.01,0.01,,8,Oxford/AstraZeneca,Government of South Sudan,https://africa.cgtn.com/2021/04/15/south-sudan-lifts-covid-19-restrictions-amid-fall-in-infections/
Spain,ESP,4/29/2021,16364595,11763360,4689766,504823,350662,35,25.16,10.03,7500,"Johnson&Johnson, Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Ministry of Health,https://www.mscbs.gob.es/profesionales/saludPublica/ccayes/alertasActual/nCov/documentos/Informe_Comunicacion_20210430.ods
Sri Lanka,LKA,5/2/2021,1016195,928107,88088,24896,12066,4.75,4.33,0.41,563,"Oxford/AstraZeneca, Sinopharm/Beijing",Ministry of Health's Epidemiology Unit,https://www.epid.gov.lk/web/images/pdf/corona_virus_report/sitrep-sl-en-02-05_10_21.pdf
Sudan,SDN,4/23/2021,140227,140227,,,3094,0.32,0.32,,71,Oxford/AstraZeneca,Federal Ministry of Health,https://www.facebook.com/FMOH.SUDAN/posts/2880648948874731
Suriname,SUR,5/1/2021,39953,39953,,,493,6.81,6.81,,840,Oxford/AstraZeneca,Government of Suriname,https://laatjevaccineren.sr/
Sweden,SWE,4/30/2021,3266894,2511121,755773,123960,67159,32.35,24.86,7.48,6650,"Oxford/AstraZeneca, Pfizer/BioNTech",Public Health Agency of Sweden,https://www.folkhalsomyndigheten.se/smittskydd-beredskap/utbrott/aktuella-utbrott/covid-19/vaccination-mot-covid-19/statistik/statistik-over-registrerade-vaccinationer-covid-19/
Switzerland,CHE,4/28/2021,2629843,1703819,926024,121157,50887,30.39,19.69,10.7,5880,"Moderna, Pfizer/BioNTech",Federal Office of Public Health,https://www.covid19.admin.ch/en/epidemiologic/vacc-doses?detGeo=CH
Syria,SYR,4/8/2021,2500,2500,,,66,0.01,0.01,,4,Sputnik V,Ministry of Health,http://www.xinhuanet.com/english/africa/2021-04/08/c_139867196.htm
Taiwan,TWN,5/2/2021,58252,,,,2032,0.24,,,85,Oxford/AstraZeneca,Taiwan Centers for Disease Control,https://www.cdc.gov.tw/Category/Page/9jFXNbCe-sFK9EImRRi2Og
Thailand,THA,5/2/2021,1486907,1099460,387447,2342,48177,2.13,1.58,0.56,690,"Oxford/AstraZeneca, Sinovac",Government of Thailand,https://ddc.moph.go.th/uploads/ckeditor2//files/Daily%20report%202021-05-03.pdf
Timor,TLS,4/14/2021,2629,2629,,,,0.2,0.2,,,Oxford/AstraZeneca,Government of Timor-Leste,http://timor-leste.gov.tl/?p=27660&lang=en
Togo,TGO,4/17/2021,160000,160000,,,10050,1.93,1.93,,1214,Oxford/AstraZeneca,Government of Togo,https://www.republicoftogo.com/Toutes-les-rubriques/Sante/La-vaccination-de-masse-va-commencer
Tonga,TON,4/26/2021,5367,5367,,,487,5.08,5.08,,4608,Oxford/AstraZeneca,Government of Tonga,https://matangitonga.to/2021/04/26/over-5000-receive-covid-19-vaccine
Trinidad and Tobago,TTO,5/2/2021,42455,42455,,0,1157,3.03,3.03,,827,Oxford/AstraZeneca,Ministry of Health,https://experience.arcgis.com/experience/59226cacd2b441c7a939dca13f832112/
Tunisia,TUN,5/1/2021,400364,305484,94880,28281,13393,3.39,2.58,0.8,1133,"Pfizer/BioNTech, Sinovac, Sputnik V",Ministry of Health,https://www.facebook.com/santetunisie.rns.tn/posts/4091947780844295
Turkey,TUR,5/2/2021,23006734,13800405,9206329,107688,267967,27.28,16.36,10.92,3177,"Pfizer/BioNTech, Sinovac",COVID-19 Vaccine Information Platform,https://covid19asi.saglik.gov.tr/
Turks and Caicos Islands,TCA,4/11/2021,25039,15039,10000,,57,64.67,38.84,25.83,1472,Pfizer/BioNTech,Ministry of Health,https://www.facebook.com/tcihealthpromotions/photos/1945783578924922
Uganda,UGA,5/1/2021,339607,339607,,,9043,0.74,0.74,,198,Oxford/AstraZeneca,Ministry of Health,https://twitter.com/MinofHealthUG/status/1389124500097323009
Ukraine,UKR,5/2/2021,755391,755101,290,177,32480,1.73,1.73,0,743,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://vaccination.covid19.gov.ua/
United Arab Emirates,ARE,5/2/2021,10634693,,,24743,59835,107.53,,,6050,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinopharm/Beijing, Sinopharm/Wuhan, Sputnik V",National Emergency Crisis and Disaster Management Authority,http://covid19.ncema.gov.ae/en
United Kingdom,GBR,5/1/2021,49834997,34505380,15329617,515479,503641,73.41,50.83,22.58,7419,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
United States,USA,5/2/2021,245591469,147047012,104774652,2127998,2418580,73.43,43.97,31.33,7232,"Johnson&Johnson, Moderna, Pfizer/BioNTech",Centers for Disease Control and Prevention,https://covid.cdc.gov/covid-data-tracker/#vaccinations
Uruguay,URY,5/2/2021,1834409,1165904,668505,210,33146,52.81,33.56,19.24,9542,"Oxford/AstraZeneca, Pfizer/BioNTech, Sinovac",Ministry of Health,https://monitor.uruguaysevacuna.gub.uy/
Uzbekistan,UZB,4/27/2021,600369,600369,,,20259,1.79,1.79,,605,Oxford/AstraZeneca,Government of Uzbekistan,"https://akipress.com/news:657419:Uzbekistan_vaccinates_600,369_against_COVID-19/"
Venezuela,VEN,4/12/2021,250000,250000,,,15200,0.88,0.88,,535,Sputnik V,Government of Venezuela,https://www.swissinfo.ch/spa/coronavirus-venezuela_la-vacunaci%C3%B3n-en-venezuela--entre-dudas-y-certezas/46524144
Vietnam,VNM,4/29/2021,506435,506435,,80797,53975,0.52,0.52,,555,Oxford/AstraZeneca,Government of Vietnam,https://vnexpress.net/them-3-ca-lay-nhiem-tu-benh-nhan-covid-19-o-ha-nam-4270750.html
Wales,OWID_WLS,5/1/2021,2624406,1854687,769719,12481,24110,83.24,58.83,24.41,7647,"Moderna, Oxford/AstraZeneca, Pfizer/BioNTech",Government of the United Kingdom,https://coronavirus.data.gov.uk/details/healthcare
Zambia,ZMB,4/30/2021,32034,32034,,5454,2714,0.17,0.17,,148,Oxford/AstraZeneca,Government of Zambia,https://www.facebook.com/mohzambia/photos/1897572233750758
Zimbabwe,ZWE,5/2/2021,524199,430068,94131,3900,19169,3.53,2.89,0.63,1290,Sinopharm/Beijing,Ministry of Health,https://twitter.com/MoHCCZim/status/1388935941709041665
