"country","medianAnnualIncome","pop2021","medianHouseholdIncome","medianPerCapitaIncome"
"Ethiopia","850","117876.2270","",""
"United Arab Emirates","43470","9991.0890","",""
"Switzerland","85500","8715.4940","",""
"Equatorial Guinea","6460","1449.8960","",""
"Iceland","72850","343.3530","",""
"Bermuda","106140","62.0900","",""
"Monaco","186080","39.5110","",""
"Liechtenstein","116430","38.2500","",""
"Togo","","8478.2500","571","279"
"Burundi","","12255.4330","673","129"
"Liberia","","5180.2030","781","118"
"Madagascar","","28427.3280","1013","205"
"Rwanda","","13276.5130","1101","235"
"Zambia","","18920.6510","1501","287"
"Benin","","12451.0400","1502","237"
"Burkina Faso","","21497.0960","1530","168"
"Uganda","","47123.5310","1775","296"
"Kenya","1750","54985.6980","1870","402"
"Mali","","20855.7350","1983","165"
"DR Congo","520","92377.9930","1988","308"
"Ghana","","31732.1290","2050","47"
"Cameroon","1500","27224.2650","2075","403"
"Republic of the Congo","","5657.0130","2106","416"
"Tanzania","","61498.4370","2154","384"
"Indonesia","4050","276361.7830","2199","541"
"Cambodia","1480","16946.4380","2308","451"
"Sierra Leone","","8141.3430","2330","233"
"Chad","","16914.9850","2394","338"
"Philippines","3850","111046.9130","2401","478"
"Georgia","","3979.7650","2591","734"
"Nigeria","2030","211400.7080","2667","493"
"Niger","","25130.8170","2708","307"
"Nepal","","29674.9200","2718","519"
"Haiti","","11541.6850","2735","627"
"Bangladesh","1940","166303.4980","2819","567"
"Egypt","2690","104258.3270","3111","623"
"India","2130","1393409.0380","3168","616"
"Yemen","","30490.6400","3178","400"
"Sri Lanka","","21497.3100","3242","719"
"Laos","2570","7379.3580","3379","615"
"Angola","","33933.6100","3534","720"
"Botswana","","2397.2410","3603","740"
"Sudan","590","44909.3530","3640","579"
"Armenia","","2968.1270","3865","926"
"Senegal","","17196.3010","3897","402"
"Comoros","","888.4510","3912","598"
"Kyrgyzstan","","6628.3560","4034","828"
"Pakistan","1530","225199.9370","4060","480"
"Afghanistan","540","39835.4280","4121","378"
"Moldova","","4024.0190","4158","1329"
"Guatemala","","18249.8600","4516","898"
"Vietnam","2540","98168.8330","4783","1124"
"El Salvador","","6518.4990","4828","1114"
"Honduras","","10062.9910","4848","821"
"Iraq","","41179.3500","4917","617"
"Tajikistan","","9749.6270","5137","713"
"Peru","6740","33359.4180","5161","1077"
"South Africa","6040","60041.9940","5217","1217"
"Mongolia","","3329.2890","5922","1440"
"Paraguay","","7219.6380","6179","1292"
"China","10410","1444216.1070","6180","1786"
"Dominican Republic","","10953.7030","6302","1623"
"Libya","","6958.5320","6398","1012"
"Bolivia","3530","11832.9400","6399","1403"
"Nicaragua","","6702.3850","6488","1173"
"Colombia","6510","51265.8440","6544","1534"
"Morocco","3190","37344.7950","6634","1135"
"Mauritania","","4775.1190","6679","778"
"Ecuador","6080","17888.4750","6858","1682"
"Thailand","7260","69950.8500","7029","1795"
"Albania","5240","2872.9330","7314","1902"
"Bosnia and Herzegovina","","3263.4660","7383","2553"
"Kazakhstan","","18994.9620","7492","1958"
"Brazil","9130","213993.4370","7522","2247"
"Algeria","","44616.6240","7849","1392"
"Romania","12630","19127.7740","7922","2618"
"Uruguay","","3485.1510","7949","2488"
"Chile","15010","19212.3610","8098","2040"
"Syria","","18275.7020","8193","1431"
"Jordan","","10269.0210","8276","1550"
"Panama","","4381.5790","8356","2011"
"Bulgaria","9410","6896.6630","8487","2829"
"Serbia","7020","8697.5500","8921","3020"
"Costa Rica","11700","5139.0520","8929","2032"
"Turkey","9610","85042.7380","8955","2538"
"Tunisia","","11935.7660","8966","1646"
"Latvia","","1866.9420","10461","4000"
"Ukraine","3370","43466.8190","11074","3876"
"Malaysia","11200","32776.1940","11207","2267"
"Venezuela","13080","28704.9540","11299","2328"
"Azerbaijan","","10223.3420","11446","2430"
"Montenegro","","628.0530","11519","3123"
"Mexico","9430","130262.2160","11680","2900"
"Russia","11260","145912.0250","11724","4129"
"Iran","5420","85028.7590","12046","3115"
"Lithuania","","2689.8620","12375","4719"
"Hungary","16140","9634.1640","12445","4493"
"Estonia","","1325.1850","12577","5031"
"Lebanon","","6769.1460","13004","2960"
"Argentina","11200","45605.8260","14432","4109"
"Belarus","6280","9442.8620","15085","5236"
"Poland","15200","37797.0050","15338","4578"
"Portugal","23080","10167.9250","16186","5519"
"Croatia","14910","4081.6510","16231","5177"
"Slovakia","","5460.7210","17415","5455"
"Greece","20320","10370.7440","17777","6086"
"Cyprus","","1215.5840","18242","4932"
"Italy","34460","60367.4770","20085","6874"
"Malta","","442.7840","21141","6869"
"Spain","30390","46745.2160","21959","7284"
"Czech Republic","","10724.5550","22913","7821"
"Finland","49580","5548.3600","24615","15725"
"Bahrain","","1748.2960","24693","4778"
"Saudi Arabia","22850","35340.6830","24980","4762"
"Ireland","62210","4982.9070","25085","8048"
"Slovenia","","2078.7240","25969","8656"
"Qatar","","2930.5280","26555","5117"
"Belgium","47350","11632.3260","26703","10189"
"Israel","43290","8789.7740","30364","7847"
"France","42400","65426.1790","31112","12445"
"United Kingdom","42370","68207.1160","31617","12399"
"Singapore","59590","5896.6860","32360","7345"
"Taiwan","","23855.0100","32762","6882"
"Germany","48520","83900.4730","33333","14098"
"Japan","41690","126050.8040","33822","10840"
"Austria","51300","9043.0700","34911","12284"
"Hong Kong","50840","7552.8100","35443","9705"
"New Zealand","42670","4860.6430","35562","12147"
"Netherlands","53200","17173.0990","38584","14450"
"Kuwait","","4328.5500","40854","7487"
"South Korea","33720","51305.1860","40861","11950"
"Canada","46370","38067.9030","41280","15181"
"United States","65760","332915.0730","43585","15480"
"Denmark","63240","5813.2980","44360","18262"
"Australia","54910","25788.2150","46555","15026"
"Sweden","55840","10160.1690","50514","18632"
"Norway","82500","5465.6300","51489","19308"
"Luxembourg","73910","634.8140","52493","18418"